,number,value,datetime_start,datetime_complete,duration,params_activation_l0,params_activation_l1,params_activation_l2,params_activation_l3,params_activation_l4,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_n_units_l3,params_n_units_l4,state
38,38,0.005694005638360977,2023-11-07 17:28:53.300085,2023-11-07 17:28:53.954263,0 days 00:00:00.654178,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Tanh'>,,0.0018197098378177254,4,33,29.0,36.0,32.0,,COMPLETE
39,39,0.0011927932500839233,2023-11-07 17:28:53.955056,2023-11-07 17:28:54.556581,0 days 00:00:00.601525,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Sigmoid'>,,,0.007632572115400599,3,40,37.0,52.0,,,COMPLETE
40,40,0.011968618258833885,2023-11-07 17:28:54.557415,2023-11-07 17:28:55.280161,0 days 00:00:00.722746,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,0.0012621216342989315,5,6,14.0,47.0,11.0,32.0,COMPLETE
41,41,0.001309616374783218,2023-11-07 17:28:55.280946,2023-11-07 17:28:55.877673,0 days 00:00:00.596727,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.0037867090685084715,4,16,27.0,25.0,21.0,,COMPLETE
42,42,0.002005182206630707,2023-11-07 17:28:55.878419,2023-11-07 17:28:56.444174,0 days 00:00:00.565755,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,,0.0025162700787684593,3,30,21.0,37.0,,,COMPLETE
43,43,0.041106805205345154,2023-11-07 17:28:56.445166,2023-11-07 17:28:57.150231,0 days 00:00:00.705065,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.005391680607255524,4,21,49.0,14.0,6.0,,COMPLETE
44,44,0.010277701541781425,2023-11-07 17:28:57.151056,2023-11-07 17:28:57.565928,0 days 00:00:00.414872,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,,0.012274805520552545,3,27,1.0,4.0,,,COMPLETE
45,45,0.0011889573652297258,2023-11-07 17:28:57.566719,2023-11-07 17:28:58.235358,0 days 00:00:00.668639,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.0033868770953184063,4,15,34.0,26.0,17.0,,COMPLETE
46,46,0.010013877414166927,2023-11-07 17:28:58.236419,2023-11-07 17:28:59.056280,0 days 00:00:00.819861,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.Sigmoid'>,,,0.00949521147619123,3,34,18.0,100.0,,,COMPLETE
47,47,0.012265845201909542,2023-11-07 17:28:59.057192,2023-11-07 17:28:59.422010,0 days 00:00:00.364818,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,,,,0.0017972037403570908,2,24,7.0,,,,COMPLETE
